time,open,high,low,close_stock,volume,amount,thscode,close_index,ret_stock,ret_index,ret_excess
2015-01-06,1128.4723,1141.5696,1108.11,1117.3702,5502001.0,1094977375.0,600519.SH,3641.059,-0.02102289802122892,-0.00013236154693851976,-0.0208905364742904
2015-01-07,1108.2123,1125.9142,1077.2596,1092.3522,5479784.0,1063925641.0,600519.SH,3643.79,-0.022390072690322338,0.0007500565082849686,-0.023140129198607307
2015-01-08,1097.7754,1100.4358,1078.027,1086.3152,4052530.0,777874670.0,600519.SH,3559.259,-0.005526605796189243,-0.023198647562016506,0.017672041765827262
2015-01-09,1079.3572,1106.8309,1077.8735,1078.8968,5398220.0,1039955153.0,600519.SH,3546.723,-0.006828957194007779,-0.003522081422003831,-0.0033068757720039477
2015-01-12,1077.3108,1090.5616,1048.9673,1059.0461,4991459.0,934643414.0,600519.SH,3513.576,-0.018399072089193336,-0.009345810202826654,-0.009053261886366681
2015-01-13,1061.9623,1069.8412,1049.6835,1051.1161,3670808.0,683429624.0,600519.SH,3514.04,-0.00748787045247612,0.0001320591898397172,-0.007619929642315837
2015-01-14,1051.73,1059.4042,1030.6515,1042.4186,5240344.0,965036184.0,600519.SH,3502.423,-0.008274537893578016,-0.0033058815494416693,-0.004968656344136346
2015-01-15,1046.0511,1058.8926,1038.8373,1057.2043,4858552.0,895503097.0,600519.SH,3604.121,0.014184033170551835,0.029036469895269645,-0.01485243672471781
2015-01-16,1057.8694,1067.0785,1056.7438,1057.4089,3997806.0,746304289.0,600519.SH,3635.146,0.00019352929230409543,0.00860820155594122,-0.008414672263637124
2015-01-19,1031.2654,1042.5209,982.5085,1003.0242,6467937.0,1151544267.0,600519.SH,3355.155,-0.05143204298734383,-0.07702331625744885,0.02559127327010502
2015-01-20,1005.787,1028.7073,990.3362,1016.3262,6102274.0,1086018454.0,600519.SH,3396.222,0.013261893382034096,0.01223997102965435,0.001021922352379745
2015-01-21,1017.2983,1040.9861,1011.824,1038.2234,5267474.0,950750407.0,600519.SH,3548.885,0.021545444759763166,0.04495083065830219,-0.023405385898539022
2015-01-22,1038.2745,1048.4557,1026.1492,1032.4421,3825481.0,696541254.0,600519.SH,3567.613,-0.0055684547275663965,0.005277150428937505,-0.010845605156503901
2015-01-23,1026.7632,1042.9302,1026.712,1031.3677,3308455.0,600627336.0,600519.SH,3571.732,-0.001040639470242466,0.0011545534787547052,-0.002195192948997171
2015-01-26,1034.8467,1044.0558,1031.5212,1040.4745,3564906.0,650642102.0,600519.SH,3607.985,0.008829828585867228,0.010149977657898157,-0.0013201490720309295
2015-01-27,1040.5768,1040.5768,1015.9169,1026.712,4188362.0,755025862.0,600519.SH,3574.931,-0.013227138195121557,-0.009161346291628125,-0.004065791903493432
2015-01-28,1021.0331,1028.1957,1012.3356,1013.2054,3068066.0,547979157.0,600519.SH,3525.323,-0.013155198341891383,-0.013876631465054912,0.0007214331231635285
2015-01-29,1006.7079,1015.9169,1000.5685,1006.4521,3249254.0,571553419.0,600519.SH,3481.798,-0.006665282281361762,-0.012346386416223432,0.00568110413486167
2015-01-30,1010.7496,1031.2654,1008.2427,1011.7217,4750834.0,848744494.0,600519.SH,3434.39,0.005235817978819002,-0.013615953596389008,0.01885177157520801
2015-02-02,1003.1777,1007.7311,992.8943,999.6476,3398336.0,593379653.0,600519.SH,3353.96,-0.011934210761714414,-0.02341900599524216,0.011484795233527745
2015-02-03,1013.2565,1019.2424,1006.7079,1017.8099,2779280.0,493512567.0,600519.SH,3437.445,0.01816870265081416,0.024891471573900814,-0.006722768923086653
2015-02-04,1021.8005,1036.7908,1010.8008,1012.0798,3529371.0,634135328.0,600519.SH,3401.768,-0.005629833233101733,-0.010378929699238815,0.004749096466137082
2015-02-05,1020.8796,1030.7538,995.4523,995.7081,4123962.0,735861121.0,600519.SH,3366.946,-0.016176293608468506,-0.010236441756169223,-0.005939851852299283
2015-02-06,998.7267,1008.2427,993.4059,998.522,3710238.0,648205629.0,600519.SH,3312.42,0.0028260290340111904,-0.016194497921855566,0.019020526955866757
2015-02-09,1004.5079,1052.2416,1000.5685,1048.1487,8729358.0,1584342294.0,600519.SH,3345.921,0.049700156831797404,0.010113753690655036,0.03958640314114237
2015-02-10,1050.7068,1052.7532,1033.5677,1040.8838,5363887.0,984795852.0,600519.SH,3406.943,-0.0069311730291702345,0.018237728864489045,-0.02516890189365928
2015-02-11,1038.428,1047.8929,1036.7908,1042.2651,2289479.0,420358857.0,600519.SH,3434.124,0.0013270453435820784,0.007978119974416886,-0.006651074630834808
2015-02-12,1046.5627,1049.1208,1036.4327,1044.4139,2505098.0,458818631.0,600519.SH,3442.874,0.0020616635825183582,0.0025479569171060756,-0.0004862933345877174
2015-02-13,1047.1766,1049.1719,1033.3119,1038.8885,4012705.0,734977407.0,600519.SH,3469.828,-0.005290431312720001,0.00782892432310911,-0.01311935563582911
2015-02-16,1039.1443,1044.7209,1032.391,1043.0837,3952108.0,722512103.0,600519.SH,3499.483,0.00403816193941875,0.008546533142276935,-0.004508371202858186
2015-02-17,1044.3116,1046.0511,1035.9211,1037.5071,3417255.0,624854087.0,600519.SH,3522.322,-0.0053462632001629595,0.006526392612851595,-0.011872655813014554
2015-02-25,1041.4977,1055.3113,1031.8282,1046.4092,5993512.0,1104113268.0,600519.SH,3478.729,0.00858027863134625,-0.012376210919955777,0.020956489551302027
2015-02-26,1045.5906,1069.0738,1044.3116,1060.1205,6229772.0,1163369598.0,600519.SH,3566.295,0.013103191371023781,0.025171837185362866,-0.012068645814339085
2015-02-27,1061.4507,1100.3334,1060.9391,1082.6827,6337094.0,1217723178.0,600519.SH,3572.843,0.021282674941197843,0.0018360791802136678,0.019446595760984176
2015-03-02,1081.4037,1096.7521,1072.1946,1081.0455,3109870.0,592027084.0,600519.SH,3601.265,-0.0015121697243339893,0.007955009498038512,-0.009467179222372502
2015-03-03,1073.7295,1087.5431,1052.5486,1056.5903,4299960.0,812905777.0,600519.SH,3507.9,-0.022621804540141843,-0.025925612250139785,0.0033038077099979413
2015-03-04,1061.9111,1067.1296,1049.6835,1062.9344,4066223.0,757815044.0,600519.SH,3530.822,0.006004314065726435,0.006534393796858495,-0.0005300797311320604
2015-03-05,1051.7812,1062.1158,1046.8697,1054.3904,3620624.0,670609773.0,600519.SH,3496.344,-0.008038125400777418,-0.009764864952127361,0.0017267395513499428
2015-03-06,1053.5207,1059.3019,1042.8791,1044.6697,2547066.0,471454744.0,600519.SH,3478.52,-0.009219260721645473,-0.00509789654564885,-0.004121364175996622
2015-03-09,1055.8229,1092.608,1045.5906,1085.292,4348603.0,815432195.0,600519.SH,3537.75,0.038885305087340116,0.017027356461943643,0.021857948625396473
2015-03-10,1082.1199,1084.985,1063.3948,1066.2087,2963706.0,561292473.0,600519.SH,3520.611,-0.01758356276467532,-0.004844604621581539,-0.012738958143093781
2015-03-11,1066.2087,1092.6592,1066.0552,1087.4407,4058339.0,778418696.0,600519.SH,3524.653,0.01991354975812909,0.001148096168534396,0.018765453589594694
2015-03-12,1092.6592,1107.9565,1084.4734,1091.3802,3849640.0,747203168.0,600519.SH,3592.844,0.0036227262783157244,0.019346869039306824,-0.0157241427609911
2015-03-13,1091.1244,1097.2637,1070.0458,1076.8503,2547927.0,486997365.0,600519.SH,3617.657,-0.013313325640322171,0.006906228046639429,-0.0202195536869616
2015-03-16,1077.6177,1100.3334,1062.0135,1096.5475,3116097.0,597313674.0,600519.SH,3705.671,0.018291493255840452,0.02432900631541335,-0.0060375130595728965
2015-03-17,1102.8404,1121.7701,1102.3287,1111.9471,4590408.0,903712736.0,600519.SH,3757.122,0.014043714476573266,0.013884395025894003,0.00015931945067926279
2015-03-18,1112.1006,1128.4211,1105.5519,1125.6584,3930446.0,778884998.0,600519.SH,3846.055,0.01233089235989726,0.02367051163097722,-0.01133961927107996
2015-03-19,1121.0027,1123.305,1098.0823,1104.324,3353977.0,658535489.0,600519.SH,3839.739,-0.018952819079038452,-0.0016422022045966544,-0.017310616874441798
2015-03-20,1098.7986,1102.8404,1081.813,1093.4266,5137371.0,991294900.0,600519.SH,3892.574,-0.00986793730825375,0.013760049836720745,-0.023627987144974494
2015-03-23,1101.2032,1111.8448,1093.6824,1103.3008,4097901.0,799009923.0,600519.SH,3972.061,0.009030510141238457,0.020420164138176933,-0.011389653996938476
2015-03-24,1104.4264,1115.3749,1088.0547,1106.4217,6007944.0,1172628507.0,600519.SH,3973.046,0.0028286936799104545,0.0002479820929235377,0.002580711586986917
2015-03-25,1092.6592,1103.4031,1087.85,1091.5337,4224030.0,815963246.0,600519.SH,3940.412,-0.0134559906046674,-0.008213849021632247,-0.005242141583035154
2015-03-26,1095.4731,1127.9607,1087.5431,1121.105,6710525.0,1315872110.0,600519.SH,3949.999,0.027091513528166855,0.0024329943163303724,0.024658519211836483
2015-03-27,1118.24,1121.105,1092.4034,1100.5892,4014459.0,784086654.0,600519.SH,3971.697,-0.01829962403164742,0.0054931659476369354,-0.023792789979284357
2015-03-30,1101.2543,1123.1003,1093.1708,1111.9471,6345139.0,1237889229.0,600519.SH,4088.178,0.010319835956958512,0.02932776593984876,-0.019007929982890248
