year,ic
2015,-0.02235415226362111
2016,0.05077057897313456
2017,-0.05166999461859502
2018,-0.1010678178978954
2019,0.018641747392726928
2020,-0.0004552581213233972
2021,-0.0866197091344437
2022,0.044453651893116154
2023,0.004864815141765469
2024,-0.0759098087810402
2025,0.03983388675316395
2026,0.1384789741027913
